datum;ags;Bezirk-Nr;Bezirk-Name;Bezirk-Art;Wahlraum-Bezeichnung;Wahlraum-Adresse;Wahlraum-Barrierefrei;Wahlraum-Barrierefrei-Ergaenzung
26.05.2019;09663000;001;Stimmbezirk 1/Altstadt;W;Private Wirtschaftsschule, Müller, Aula;Neubaustr. 5, 97070 Würzburg;ja;
26.05.2019;09663000;002;Stimmbezirk 2/Altstadt;W;Bechtolsheimer Hof, Zimmer 101;Hofstr. 16, 97070 Würzburg;nein;
26.05.2019;09663000;003;Stimmbezirk 3/Altstadt;W;Bechtolsheimer Hof, Zimmer 102;Hofstr. 16, 97070 Würzburg;nein;
26.05.2019;09663000;004;Stimmbezirk 4/Altstadt;W;Falkenhaus, Stadtbücherei;Marktplatz 9, 97070 Würzburg;ja;
26.05.2019;09663000;005;Stimmbezirk 5/Altstadt;W;Wirsberg-Gymnasium, Saal 105;Am Pleidenturm 16, 97070 Würzburg;nein;
26.05.2019;09663000;006;Stimmbezirk 6/Altstadt;W;Wirsberg-Gymnasium, Saal 106;Am Pleidenturm 16, 97070 Würzburg;nein;
26.05.2019;09663000;007;Stimmbezirk 7/Altstadt;W;Röntgen-Gymnasium, Zimmer 22;Sanderring 8, 97070 Würzburg;nein;
26.05.2019;09663000;008;Stimmbezirk 8/Altstadt;W;Pfarramt St. Gertraud, Pfarrsaal;Pleicherkirchplatz 1, 97070 Würzburg;nein;
26.05.2019;09663000;009;Stimmbezirk 9/Altstadt;W;Jenaplan-Schule, Saal 02;Wallgasse 10, 97070 Würzburg;nein;
26.05.2019;09663000;010;Stimmbezirk 10/Altstadt;W;Jenaplan-Schule, Saal 01;Wallgasse 10, 97070 Würzburg;nein;
26.05.2019;09663000;011;Stimmbezirk 11/Altstadt;W;Bechtolsheimer Hof, Zimmer 103;Hofstr. 16, 97070 Würzburg;nein;
26.05.2019;09663000;012;Stimmbezirk 12/Altstadt;W;Pfarramt St. Gertraud, Pfarrsaal;Pleicherkirchplatz 1, 97070 Würzburg;nein;
26.05.2019;09663000;013;Stimmbezirk 13/Altstadt;W;Riemenschneider-Gymnasium, Saal 31;Rennweger Ring 12, 97070 Würzburg;nein;
26.05.2019;09663000;014;Stimmbezirk 14/Altstadt;W;Riemenschneider-Gymnasium, Saal 32;Rennweger Ring 12, 97070 Würzburg;nein;
26.05.2019;09663000;015;Stimmbezirk 15/Altstadt;W;David-Schuster-Realschule, Saal A 3;Sandbergerstr. 1, 97074 Würzburg;nein;
26.05.2019;09663000;016;Stimmbezirk 16/Altstadt;W;Amt für Ländl. Entwicklung, Kantine - Eingang:, Schottenanger/Rückgeb.;Zeller Str. 40, 97082 Würzburg;ja;
26.05.2019;09663000;017;Stimmbezirk 17/Altstadt;W;Amt für Ländl. Entwicklung, Kantine - Eingang:, Schottenanger/Rückgeb.;Zeller Str. 40, 97082 Würzburg;ja;
26.05.2019;09663000;020;Stimmbezirk 20/Zellerau;W;Adalbert-Stifter-Grundschule, Schulcontainer D01, Eingang:, Schorkstr.;Frankfurter Str. 71, 97082 Würzburg;ja;
