datum;ags;Strassen-Name;Hausnummern-Bereich;PLZ;Ortsteil;Bezirk-Nr
26.05.2019;09663000;Abtsleitenweg;;97074;;083
26.05.2019;09663000;Adalberostr.;;97072;;093
26.05.2019;09663000;Adalbert-Stifter-Weg;;97082;;143
26.05.2019;09663000;Adam-Güthlein-Str.;;97078;;152
26.05.2019;09663000;Adelgundenweg;;97082;;026
26.05.2019;09663000;Agnes-Sapper-Str.;;97074;;085
26.05.2019;09663000;Ahornweg;;97076;;167
26.05.2019;09663000;Akaziensteige;1-20B;97084;;134
26.05.2019;09663000;Akaziensteige;21-35;97084;;137
26.05.2019;09663000;Alandsgrundweg;;97074;;082
26.05.2019;09663000;Albert-Balling-Gasse;;97084;;111
26.05.2019;09663000;Albert-Einstein-Str.;;97080;;036
26.05.2019;09663000;Albert-Hoffa-Str.;1-6B,8-10;97074;;074
26.05.2019;09663000;Albert-Hoffa-Str.;7,12-18A;97074;;084
26.05.2019;09663000;Albert-Schweitzer-Str.;;97076;;164
26.05.2019;09663000;Albertsleitenweg;;97080;;038
26.05.2019;09663000;Alfons-M-Mitnacht-Str.;2-18A ger.;97076;;166
26.05.2019;09663000;Alfons-M-Mitnacht-Str.;1-15 ung.;97076;;167
26.05.2019;09663000;Alfred-Nobel-Str.;;97080;;036
26.05.2019;09663000;Allendorfweg;;97084;;118
26.05.2019;09663000;Alte Fernstr.;;97074;;085
26.05.2019;09663000;Alte Kasernstr.;;97082;;016
26.05.2019;09663000;Alte Mainbrücke;;97070;;004
26.05.2019;09663000;Alte Würzburger Straße;;97076;;164
26.05.2019;09663000;Alter Bergweg;;97080;;040
26.05.2019;09663000;Am Altenberg;;97078;;151
26.05.2019;09663000;Am Bauhof;;97076;;164
26.05.2019;09663000;Am Baumland;;97084;;135
26.05.2019;09663000;Am Bruderhof;;97070;;002
26.05.2019;09663000;Am Brunnen;;97084;;136
26.05.2019;09663000;Am Brünnlein;;97084;;136
26.05.2019;09663000;Am Dicken Turm;;97082;;016
26.05.2019;09663000;Am Döle;;97084;;112
26.05.2019;09663000;Am Dürrbach;;97080;;036
26.05.2019;09663000;Am Eselsbach;;97078;;155
26.05.2019;09663000;Am Exerzierplatz;;97072;;093
26.05.2019;09663000;Am Feldkreuz;;97084;;136
26.05.2019;09663000;Am Galgenberg;1-39;97074;;074
26.05.2019;09663000;Am Galgenberg;52A-52K;97074;;085
26.05.2019;09663000;Am Greinberg;;97076;;051
26.05.2019;09663000;Am Handelshof;;97076;;164
26.05.2019;09663000;Am Hasensprung;;97076;;165
26.05.2019;09663000;Am Heigelsbach;;97084;;114
26.05.2019;09663000;Am Heuchel;1-11 ung.;97084;;134
26.05.2019;09663000;Am Heuchel;8-14 ger.;97084;;137
26.05.2019;09663000;Am Hölzlein;1;97076;;162
26.05.2019;09663000;Am Hölzlein;1A-71 ung.,82-116;97076;;168
26.05.2019;09663000;Am Hölzlein;4-80 ger.;97076;;169
26.05.2019;09663000;Am Hubland;;97074;;085
26.05.2019;09663000;Am Hungrigen Bühl;;97084;;117
26.05.2019;09663000;Am Kugelfang;;97074;;074
26.05.2019;09663000;Am Kuhberg;;97080;;038
26.05.2019;09663000;Am Mühlenhang;1-7 ung.,8-26;97076;;162
26.05.2019;09663000;Am Mühlenhang;2-6 ger.;97076;;168
26.05.2019;09663000;Am Nikolausspital;15-19;97084;;110
26.05.2019;09663000;Am Nikolausspital;1-13;97084;;111
26.05.2019;09663000;Am Nikolaustor;;97084;;111
26.05.2019;09663000;Am Ostbahnhof;;97084;;112
26.05.2019;09663000;Am Pleidenturm;1-9 ung.;97070;;005
26.05.2019;09663000;Am Pleidenturm;2-10 ger.,11-16;97070;;006
26.05.2019;09663000;Am Riedelskreuz;;97080;;036
26.05.2019;09663000;Am Roßberg;;97080;;036
26.05.2019;09663000;Am Rubenland;;97084;;115
26.05.2019;09663000;Am Salmannsturm;;97084;;112
26.05.2019;09663000;Am Sand;;97080;;039
26.05.2019;09663000;Am Schaftrieb;;97080;;040
26.05.2019;09663000;Am Schellengraben;;97084;;125
26.05.2019;09663000;Am Schießgraben;;97076;;165
26.05.2019;09663000;Am Schloß;;97084;;134
26.05.2019;09663000;Am Schloßgarten;4;97076;;165
26.05.2019;09663000;Am Schloßgarten;1-5 ung.,6-24;97076;;166
26.05.2019;09663000;Am Schwarzenberg;;97078;;064
26.05.2019;09663000;Am Sonnenberg;;97078;;151
26.05.2019;09663000;Am Sonnenhof;;97076;;164
26.05.2019;09663000;Am Sonnfeld;;97076;;160
26.05.2019;09663000;Am Stadtberg;;97078;;150
26.05.2019;09663000;Am Steg;;97078;;155
26.05.2019;09663000;Am Stein;;97080;;045
26.05.2019;09663000;Am Stockbrunnen;;97084;;136
26.05.2019;09663000;Am Stuck;;97076;;169
26.05.2019;09663000;Am Studentenhaus;;97072;;093
26.05.2019;09663000;Am Terrassenpark;;97074;;072
26.05.2019;09663000;Am Trog;;97076;;169
26.05.2019;09663000;Am Wald;;97082;;143
26.05.2019;09663000;Am Wandberg;;97080;;041
26.05.2019;09663000;Am Weinberg;;97076;;168
26.05.2019;09663000;Am Westbahnhof;;97084;;114
26.05.2019;09663000;Am Zehentfreien;;97078;;154
26.05.2019;09663000;Amalienstr.;;97072;;092
26.05.2019;09663000;An den Breiten;;97078;;154
26.05.2019;09663000;An den drei Pappeln;;97082;;144
26.05.2019;09663000;An den Mühltannen;;97080;;039
26.05.2019;09663000;An den Röthen;;97080;;039
26.05.2019;09663000;An der Jahnhöhe;;97084;;110
26.05.2019;09663000;An der Linde;;97078;;152
26.05.2019;09663000;An der Löwenbrücke;;97070;;006
26.05.2019;09663000;An der Pleichach;1,3-8;97078;;153
26.05.2019;09663000;An der Pleichach;2;97078;;155
26.05.2019;09663000;An der Stadtmauer;1,1A;97084;;110
26.05.2019;09663000;An der Stadtmauer;2-11;97084;;111
26.05.2019;09663000;An der Steige;;97080;;041
26.05.2019;09663000;An der Sternwarte;;97074;;082
26.05.2019;09663000;Andreas-Grieser-Str.;;97084;;110
26.05.2019;09663000;Anemonenweg;6-10 ger.,11-31;97084;;134
26.05.2019;09663000;Anemonenweg;1-5,7,9;97084;;137
26.05.2019;09663000;Angermaierstr.;21-29 ung.,30-89;97076;;161
26.05.2019;09663000;Angermaierstr.;3-20A,22-28 ger.;97076;;169
26.05.2019;09663000;Annastr.;8-13,14,16,17A,18,20;97072;;013
26.05.2019;09663000;Annastr.;13A-17 ung.,22-30;97072;;014
26.05.2019;09663000;Annastr.;19;97072;;015
26.05.2019;09663000;Anne-Frank-Str.;;97082;;142
26.05.2019;09663000;Anton-Bruckner-Str.;;97074;;080
26.05.2019;09663000;Antonie-Werr-Str.;4-12 ger.;97082;;024
26.05.2019;09663000;Antonie-Werr-Str.;3-9 ung.;97082;;026
26.05.2019;09663000;Antonius-Lauck-Str.;;97084;;112
26.05.2019;09663000;Armin-Knab-Str.;;97074;;074
26.05.2019;09663000;Arndtstr.;33-44;97072;;095
26.05.2019;09663000;Arndtstr.;1-15 ung.;97072;;098
26.05.2019;09663000;Arndtstr.;17-29 ung.,31;97072;;099
26.05.2019;09663000;Arndtstr.;10-28 ger.,29A,30-32A ger.;97072;;100
26.05.2019;09663000;Arndtstr.;2,6;97072;;101
26.05.2019;09663000;Arztlade;;97070;;001
26.05.2019;09663000;Athanasius-Kircher-Str.;;97074;;085
26.05.2019;09663000;Athener Ring;2-14 ger.,15-29 ung.;97084;;125
26.05.2019;09663000;Athener Ring;1-13 ung.,16-32 ger.,33-110;97084;;133
26.05.2019;09663000;Auf der Läng;;97076;;165
26.05.2019;09663000;Auf der Röthe;1-9 ung.,10-45;97076;;164
26.05.2019;09663000;Auf der Röthe;2-8 ger.;97076;;165
26.05.2019;09663000;Auf der Schanz;1-36,38-156 ger.;97076;;160
26.05.2019;09663000;Auf der Schanz;37-43 ung.;97076;;162
26.05.2019;09663000;Augustinerstr.;;97070;;001
26.05.2019;09663000;August-Sperl-Str.;;97074;;079
26.05.2019;09663000;Äußere Aumühlstr.;;97076;;051
26.05.2019;09663000;Äußerer Neubergweg;;97074;;082
26.05.2019;09663000;Äußerer Tränkeweg;;97074;;072
26.05.2019;09663000;Auverastr.;;97080;;046
26.05.2019;09663000;Bachgasse;;97070;;008
26.05.2019;09663000;Badergasse;;97070;;007
26.05.2019;09663000;Bahnhofstr.;8-24Stw. 3;97070;;009
26.05.2019;09663000;Bahnhofstr.;1-5 ung.;97070;;010
26.05.2019;09663000;Balth.-Neumann-Promenade;;97070;;002
26.05.2019;09663000;Banatstr.;;97078;;155
26.05.2019;09663000;Barbarastr.;9-41D ung.;97074;;070
26.05.2019;09663000;Barbarastr.;8-44 ger.,45-54;97074;;071
